HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season
Barcelona,Malaga,2,1,H,2,0,H,2000
La Coruna,Ath Bilbao,2,0,H,0,0,D,2000
Real Madrid,Valencia,2,1,H,0,0,D,2000
Sociedad,Santander,2,2,D,0,0,D,2000
Zaragoza,Espanol,1,2,A,0,0,D,2000
Las Palmas,Alaves,0,3,A,0,1,A,2000
Mallorca,Valladolid,1,1,D,1,0,H,2000
Numancia,Oviedo,1,0,H,0,0,D,2000
Osasuna,Celta,0,2,A,0,0,D,2000
Villarreal,Vallecano,1,5,A,0,3,A,2000
Ath Bilbao,Barcelona,3,1,H,1,1,D,2000
Malaga,Real Madrid,3,3,D,1,1,D,2000
Santander,La Coruna,0,3,A,0,1,A,2000
Valencia,Mallorca,4,0,H,1,0,H,2000
Valladolid,Numancia,2,0,H,1,0,H,2000
Alaves,Villarreal,0,1,A,0,0,D,2000
Celta,Sociedad,4,1,H,3,0,H,2000
Espanol,Osasuna,1,2,A,0,0,D,2000
Oviedo,Las Palmas,2,2,D,0,1,A,2000
Vallecano,Zaragoza,0,0,D,0,0,D,2000
Barcelona,Santander,3,1,H,1,0,H,2000
Las Palmas,Valladolid,1,1,D,0,1,A,2000
Real Madrid,Ath Bilbao,4,1,H,2,0,H,2000
Sociedad,La Coruna,1,1,D,1,0,H,2000
Zaragoza,Alaves,2,2,D,1,2,A,2000
Celta,Espanol,1,0,H,1,0,H,2000
Mallorca,Malaga,0,1,A,0,0,D,2000
Numancia,Valencia,0,3,A,0,0,D,2000
Osasuna,Vallecano,2,2,D,1,1,D,2000
Villarreal,Oviedo,1,0,H,1,0,H,2000
Santander,Real Madrid,0,0,D,0,0,D,2000
Alaves,Osasuna,2,0,H,0,0,D,2000
Ath Bilbao,Mallorca,2,1,H,1,1,D,2000
La Coruna,Barcelona,2,0,H,0,0,D,2000
Malaga,Numancia,1,3,A,1,2,A,2000
Oviedo,Zaragoza,2,1,H,2,0,H,2000
Vallecano,Celta,3,0,H,1,0,H,2000
Valencia,Las Palmas,5,1,H,2,0,H,2000
Valladolid,Villarreal,0,0,D,0,0,D,2000
Espanol,Vallecano,0,0,D,0,0,D,2000
Las Palmas,Malaga,2,1,H,0,0,D,2000
Real Madrid,La Coruna,3,0,H,2,0,H,2000
Sociedad,Barcelona,0,6,A,0,6,A,2000
Villarreal,Valencia,1,1,D,0,0,D,2000
Celta,Alaves,1,1,D,1,1,D,2000
Mallorca,Santander,2,1,H,0,1,A,2000
Numancia,Ath Bilbao,0,0,D,0,0,D,2000
Osasuna,Oviedo,0,0,D,0,0,D,2000
Zaragoza,Valladolid,0,0,D,0,0,D,2000
