at,atgdlast10,atgdlast20,atgdlast5,atwinslast20,atwinslat10,atwinslat5,ht,htgdlast10,htgdlast20,htgdlast5,htwinslast20,htwinslat10,htwinslat5,result,versuslast5
Villarreal,-2.0,-2.0,-1.0,4.5,0.5,1.0,La Coruna,11.0,11.0,10.0,5.0,1.5,1.5,H,-0.5
Ath Bilbao,5.0,2.0,4.0,4.5,3.5,3.0,Malaga,0.0,-3.0,0.0,2.0,1.0,-1.5,H,0.0
Alaves,-10.0,-15.0,-11.0,1.0,0.5,-0.5,Sociedad,-1.0,5.0,-5.0,6.5,0.5,-1.5,H,-0.5
Celta,3.0,2.0,4.0,2.0,2.0,2.0,Vallecano,-9.0,-13.0,-6.0,-2.5,-1.5,-0.5,H,2.0
Vallecano,-7.0,-12.0,-5.0,-2.0,-0.5,0.0,La Coruna,11.0,14.0,9.0,6.0,2.5,2.5,H,0.0
Real Madrid,15.0,24.0,11.0,7.5,4.5,2.0,Villarreal,-1.0,-3.0,-3.0,3.0,0.5,0.0,A,-2.0
Barcelona,2.0,4.0,6.0,1.0,2.0,2.5,Alaves,-10.0,-14.0,-13.0,1.0,0.5,-2.0,D,-2.0
Valencia,6.0,15.0,5.0,7.0,3.5,2.0,Ath Bilbao,0.0,-2.0,-2.0,3.5,1.5,1.0,H,-2.0
Malaga,4.0,-2.0,-1.0,2.0,2.0,-1.5,Espanol,3.0,0.0,-1.0,3.0,3.0,1.0,H,-1.0
Mallorca,-8.0,-9.0,-4.0,-1.0,-3.0,-0.5,Osasuna,-3.0,-2.0,-3.0,3.5,2.0,0.0,D,0.0
Ath Bilbao,0.0,-1.0,-1.0,4.0,2.5,1.5,Celta,4.0,2.0,3.0,1.0,1.0,1.0,H,-1.0
Valladolid,-1.0,-3.0,0.0,0.0,1.5,1.0,Mallorca,-5.0,-10.0,-2.0,-0.5,-1.5,0.0,H,-0.5
La Coruna,10.0,18.0,11.0,8.0,2.5,3.0,Real Madrid,13.0,27.0,9.0,8.5,3.5,1.0,H,1.0
Villarreal,-3.0,-6.0,-5.0,2.0,-0.5,-1.0,Sociedad,0.0,7.0,1.0,6.0,1.0,0.0,D,0.0
Espanol,5.0,-1.0,0.0,3.0,5.0,1.5,Valencia,8.0,14.0,4.0,5.5,3.5,0.5,D,0.0
Celta,6.0,3.0,1.0,1.5,2.0,1.0,Espanol,2.0,-2.0,2.0,3.5,4.5,2.0,D,-2.0
Vallecano,-9.0,-14.0,-6.0,-2.5,-1.0,-0.5,Real Madrid,14.0,29.0,12.0,9.0,4.5,3.0,H,2.0
Barcelona,4.0,5.0,9.0,2.5,2.0,3.5,Villarreal,-4.0,-6.0,-4.0,2.0,0.0,0.5,H,-1.5
Mallorca,-5.0,-11.0,0.0,-0.5,-0.5,2.0,Alaves,-12.0,-10.0,-13.0,1.0,-1.5,-2.5,D,-2.0
Sociedad,0.0,6.0,2.0,5.5,1.0,1.5,La Coruna,10.0,15.0,8.0,7.0,2.5,2.0,H,2.0
Malaga,3.0,-2.0,1.0,1.0,0.5,0.0,Osasuna,-2.0,-1.0,-4.0,4.5,2.5,-0.5,A,-2.5
La Coruna,10.0,16.0,3.0,7.5,2.5,2.0,Barcelona,4.0,3.0,3.0,1.0,1.0,1.5,A,-2.0
Valladolid,-4.0,-2.0,1.0,0.0,0.0,1.0,Malaga,4.0,2.0,2.0,2.0,0.0,-0.5,H,1.0
Real Madrid,16.0,31.0,12.0,9.5,5.0,3.0,Sociedad,-2.0,4.0,-1.0,4.5,-1.0,-0.5,H,-1.0
Osasuna,-3.0,-1.0,-3.0,4.5,2.0,0.5,Valencia,4.0,7.0,-4.0,4.0,2.5,-1.0,H,1.0
Ath Bilbao,2.0,2.0,-3.0,4.0,3.5,0.0,Vallecano,-10.0,-14.0,-4.0,-2.5,-2.0,-1.5,D,-1.0
Barcelona,4.0,0.0,1.0,0.0,2.0,1.0,Real Madrid,14.0,28.0,6.0,8.5,3.5,2.0,D,0.5
Valencia,4.0,8.0,-3.0,4.5,2.5,-0.5,Valladolid,-3.0,-5.0,-3.0,-1.0,-1.0,-1.0,H,-1.0
Mallorca,-4.0,-15.0,2.0,-0.5,1.0,3.5,Villarreal,-3.0,-4.0,-2.0,3.0,0.5,-0.5,D,0.5
Malaga,4.0,2.0,4.0,2.0,0.0,1.5,Alaves,-15.0,-10.0,-4.0,0.5,-2.5,-2.0,A,-1.0
Ath Bilbao,2.0,2.0,-2.0,4.0,3.5,0.5,Espanol,0.0,0.0,1.0,5.5,4.0,3.0,D,1.0
Celta,6.0,4.0,2.0,3.0,3.5,1.5,Osasuna,-6.0,-1.0,-4.0,4.5,0.0,-1.0,A,-1.0
