name,goals_per90,assists_per90,goals_assists_pens_per90,goals_pens_per90,goals,shots_total_per90,shots_on_target_per90,shots_free_kicks,pens_made,passes_completed,passes,passes_completed_short,passes_completed_medium,passes_completed_long,sca,sca_per90,gca_per90,tackles,tackles_won,dribbles_vs,pressures,pressure_regains,blocks,blocked_shots,dribbles_completed,carry_distance,fouls,aerials_won,ball_recoveries
Andriy Lunin,"['0.00', None, None]","['0.00', None, None]","['0.00', None, None]","['0.00', None, None]",,,,,,"[None, '84', None]","[None, '122', None]","[None, '0', None]","[None, '19', None]","[None, '65', None]","[None, '0', None]","[None, '0.00', None]","[None, '0.00', None]","[None, '0', None]","0,0,0","[None, '0', None]","[None, '0', None]","[None, '0', None]","[None, '1', None]","[None, '0', None]","[None, '0', None]","[None, '249', None]","0,0,1","[None, '0', None]","[None, '21', None]"
Víctor Chust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thibaut Courtois,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00","0,0,0","0.04,0.03,0.00","0.00,0.03,0.00","0,0,0","0,0,0","643,849,125","831,1084,156","2,0,0","321,522,60","320,327,65","2,1,0","0.07,0.03,0.00","0.00,0.00,0.00","0,0,0","0,0,0","3,2,0","3,1,1","0,0,0","0,0,0","0,0,0","1,0,0","2317,3238,564","0,0,0","0,1,0","118,161,13"
Diego Altube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfonso Espino,"0.00,0.03,0.00","0.21,0.06,0.00","0.21,0.09,0.00","0.00,0.03,0.00","0,1,0","[None, '0.49', '0.40']","[None, '0.09', '0.00']","[None, None, '0']","0,0,0","[None, None, '105']","[None, None, '146']","[None, None, '3']","[None, None, '76']","[None, None, '26']","[None, None, '4']","[None, None, '0.80']","[None, None, '0.00']","[None, None, '11']","[None, '82', '7']","[None, None, '15']","[None, None, '87']","[None, None, '23']","[None, None, '15']","[None, None, '0']","[None, None, '3']","[None, None, '470']","[None, '58', '6']","[None, None, '3']","[None, None, '45']"
Yassine Bounou,"[None, '0.00', '0.00']","[None, '0.18', '0.00']","[None, '0.18', '0.00']","[None, '0.00', '0.00']","0,0,0","0.03,0.00,0.00","0.00,0.00,0.00","0,0,0","0,0,0","641,127,62","963,170,73","3,0,0","237,60,43","401,67,19","0,2,0","0.00,0.36,0.00","0.00,0.18,0.00","0,0,0","0,0,0","2,0,0","6,0,0","1,0,0","0,0,0","0,0,0","1,0,1","2402,314,211","0,0,0","1,0,0","133,30,10"
Sergio Arribas,0.00,0.00,0.00,0.00,,,,,,2,2,2,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,23,0,0,0
Jokin Ezkieta,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]",,,,,,,,,,,,,,,,,,,,,,,"[None, '0']","[None, None]","[None, None]"
Iñigo Lekue,"0.00,0.00,0.00","0.00,0.14,0.00","0.00,0.14,0.00","0.00,0.00,0.00","0,0,0","0.00,0.43,0.00","0.00,0.00,0.00","0,0,0","0,0,0","90,195,9","119,283,13","2,4,0","74,165,5","14,26,4","4,14,0","1.71,2.02,0.00","0.85,0.29,0.00","4,23,0","4,15,0","3,22,0","28,118,3","8,38,1","6,12,0","0,0,0","3,11,1","542,1822,62","1,13,1","4,9,0","20,48,2"
Jorge de Frutos,"0.00,0.14,0.00","0.00,0.07,0.00","0.00,0.21,0.00","0.00,0.14,0.00","0,2,0","1.53,1.91,0.00","0.00,0.71,0.00","['0', None, '0']","0,0,0","['15', None, '19']","['17', None, '22']","['0', None, '0']","['13', None, '16']","['2', None, '3']","['1', None, '4']","['1.53', None, '3.71']","['0.00', None, '0.93']","['2', None, '1']","0,16,1","['2', None, '0']","['17', None, '14']","['2', None, '3']","['1', None, '1']","['0', None, '0']","['0', None, '2']","['81', None, '178']","2,19,1","['0', None, '0']","['6', None, '5']"
