name,goals_per90,assists_per90,goals_assists_pens_per90,goals_pens_per90,goals,shots_total_per90,shots_on_target_per90,shots_free_kicks,pens_made,passes_completed,passes,passes_completed_short,passes_completed_medium,passes_completed_long,sca,sca_per90,gca_per90,tackles,tackles_won,dribbles_vs,pressures,pressure_regains,blocks,blocked_shots,dribbles_completed,carry_distance,fouls,aerials_won,ball_recoveries
Andriy Lunin,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,
Víctor Chust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thibaut Courtois,0.00,0.00,0.00,0.00,0,0.03,0.03,0,0,849,1084,0,522,327,1,0.03,0.00,0,0,2,1,0,0,0,0,3238,0,1,161
Diego Altube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfonso Espino,0.03,0.06,0.09,0.03,1,0.40,0.00,,0,,,,,,,,,,7,,,,,,,,6,,
Yassine Bounou,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,127,170,0,60,67,2,0.36,0.18,0,0,0,0,0,0,0,0,314,0,0,30
Sergio Arribas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jokin Ezkieta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iñigo Lekue,0.00,0.14,0.14,0.00,0,0.43,0.00,0,0,195,283,4,165,26,14,2.02,0.29,23,15,22,118,38,12,0,11,1822,13,9,48
Jorge de Frutos,0.14,0.07,0.21,0.14,2,1.91,0.71,0,0,19,22,0,16,3,4,3.71,0.93,1,16,0,14,3,1,0,2,178,19,0,5
Kenan Kodro,0.25,0.00,0.25,0.25,1,0.99,0.49,1,0,55,86,1,52,2,4,0.99,0.00,1,0,2,88,18,2,0,3,308,5,19,16
Oier Zarraga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unai Vencedor Paris,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,18,21,0,11,7,0,0.00,0.00,0,0,0,0,0,0,0,0,72,0,0,1
Aitor Paredes Casamichana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergio León,0.13,0.00,0.13,0.13,1,2.95,0.67,0,0,63,108,4,47,12,7,0.94,0.13,6,4,7,108,25,6,0,2,575,12,11,25
Son,0.00,0.00,0.00,0.00,0,0.00,0.00,,0,,,,,,,,,,1,,,,,,,,1,,
Toño,0.00,0.11,0.11,0.00,0,0.17,0.00,0,0,738,914,11,603,124,36,2.04,0.23,28,13,29,175,53,39,3,27,4478,16,15,149
Rober,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,80,93,0,51,29,2,0.94,0.00,3,2,2,25,7,0,0,2,438,1,4,19
Sergio Postigo,0.04,0.04,0.08,0.04,1,0.27,0.11,0,0,842,1017,8,547,287,11,0.42,0.08,32,21,22,213,67,29,14,5,4380,22,35,216
Mickael Malsa,0.00,0.00,0.00,0.00,0,0.49,0.00,,0,,,,,,,,,,1,,,,,,,,3,,
Roger Martí,0.44,0.04,0.32,0.28,11,2.10,0.79,0,4,284,448,12,232,40,39,1.55,0.16,20,11,23,451,85,20,2,12,2216,57,31,88
Nemanja Radoja,0.00,0.00,0.00,0.00,0,1.07,0.00,0,0,99,110,2,82,15,2,1.07,0.00,3,3,4,28,9,1,0,1,587,6,3,17
Óscar Duarte,0.00,0.00,0.00,0.00,0,0.74,0.19,0,0,190,221,0,106,84,4,0.74,0.19,11,7,3,49,19,11,6,1,908,10,13,38
Pablo Martínez,1.58,0.00,1.58,1.58,1,4.74,3.16,,0,,,,,,,,,,0,,,,,,,,2,,
Dani Cárdenas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koke Vegas,,,,,,,,,,18,22,0,10,8,0,0.00,0.00,0,0,0,0,0,0,0,0,25,0,0,2
Dani Gómez,0.00,0.00,0.00,0.00,0,1.53,0.00,,0,,,,,,,,,,0,,,,,,,,1,,
Antonio Sivera,0.00,0.00,0.00,0.00,,,,,,43,83,0,16,27,0,0.00,0.00,0,0,0,0,0,0,0,0,261,0,0,16
Adrián Marín,0.00,0.00,0.00,0.00,0,0.62,0.00,0,0,79,111,1,67,11,0,0.00,0.00,10,7,6,47,14,7,0,4,300,11,3,32
Hernâni Fortes,0.28,0.00,0.28,0.28,1,4.79,0.96,,0,,,,,,,,,,2,,,,,,,,2,,
Aritz Castro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coke,0.09,0.00,0.09,0.09,1,0.73,0.18,0,0,463,577,6,353,104,17,1.55,0.00,25,15,26,120,37,16,3,15,2250,17,17,110
Pepe Blanco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burgui,0.00,0.00,0.00,0.00,1,0.89,0.30,0,1,4,7,0,3,1,0,0.00,0.00,0,4,0,5,2,0,0,0,25,9,0,3
Jorge Miramón,0.00,0.11,0.11,0.00,0,0.33,0.07,0,0,994,1263,17,797,180,36,1.33,0.19,63,32,49,303,90,65,9,22,4940,18,22,251
Martin Agirregabiria,0.04,0.04,0.09,0.04,1,0.13,0.04,0,0,722,1014,9,605,108,23,0.99,0.13,50,22,50,248,60,39,8,14,3313,32,23,207
Nikola Vukčević,0.00,0.11,0.11,0.00,0,0.23,0.06,0,0,576,655,6,419,151,11,0.63,0.17,39,24,38,290,66,25,6,5,2606,43,19,136
Gonzalo Melero,0.15,0.07,0.15,0.07,2,1.24,0.51,0,1,458,548,11,389,58,19,1.38,0.07,28,16,23,256,69,18,3,12,2236,32,23,126
Rúben Vezo,0.00,0.00,0.00,0.00,0,0.38,0.07,0,0,954,1164,9,581,364,18,0.62,0.14,51,26,38,194,64,51,31,4,4733,29,87,274
Carlos Clerc,0.00,0.10,0.10,0.00,0,0.33,0.33,0,0,125,157,1,108,16,4,1.33,0.00,7,6,6,37,14,6,0,4,605,4,2,28
Aitor Fernández,0.00,0.00,0.00,0.00,,,,,,751,1118,10,349,392,4,0.11,0.00,0,0,0,7,3,0,0,0,2266,1,0,193
Sergi García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
José Luis Morales,0.14,0.07,0.21,0.14,4,1.39,0.50,0,0,472,700,12,384,76,66,2.36,0.21,15,7,32,354,78,25,1,51,6251,17,16,134
Enis Bardhi,0.30,0.09,0.38,0.30,7,2.38,0.77,11,0,625,853,28,494,103,66,2.81,0.38,34,27,34,405,93,25,4,38,4684,46,3,156
Manu García,0.00,0.00,0.00,0.00,0,0.92,0.32,0,0,521,710,11,403,107,9,0.41,0.00,51,38,71,477,147,33,10,10,2144,60,59,241
Javi López,0.00,0.00,0.00,0.00,,,,,,7,11,0,2,5,1,1.84,0.00,1,1,0,17,4,1,0,0,134,3,0,3
Abdallahi Mahmoud,0.00,0.00,0.00,0.00,,,,,,3,6,1,1,1,0,0.00,0.00,2,1,1,11,2,0,0,0,11,0,1,2
John Guidetti,0.00,0.00,0.00,0.00,0,1.87,0.00,0,0,3,5,0,3,0,1,3.21,0.00,0,2,0,6,0,0,0,0,12,0,1,1
Borja Sainz,0.00,0.00,0.00,0.00,0,2.07,1.03,0,0,25,31,3,18,4,2,2.07,0.00,1,0,4,29,8,2,0,3,383,2,0,12
Luis Rioja,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,60,95,1,56,3,3,1.18,0.00,3,2,3,36,9,3,0,0,427,3,0,17
Rodrigo Ely,0.08,0.00,0.08,0.08,2,0.25,0.13,0,0,667,839,4,380,283,2,0.08,0.00,27,16,27,160,49,38,20,4,2576,34,81,268
Lucas Pérez,0.40,0.18,0.40,0.22,11,1.55,0.50,4,5,448,705,19,327,102,91,3.28,0.32,12,10,19,391,107,13,1,21,3612,27,11,116
Tomás Pina Isla,0.07,0.00,0.07,0.07,1,0.13,0.07,0,0,419,525,13,337,69,10,0.67,0.07,34,21,20,231,63,18,5,9,1605,44,45,174
Florian Lejeune,0.41,0.00,0.41,0.41,2,0.25,0.00,1,0,110,151,1,60,49,2,0.50,0.00,11,7,8,43,16,6,2,0,409,6,11,50
Ximo Navarro,0.00,0.00,0.00,0.00,0,0.33,0.05,0,0,643,848,15,503,125,6,0.28,0.00,47,27,29,269,81,49,9,14,3396,29,37,229
Deyverson,0.00,0.44,0.44,0.00,0,1.76,0.44,0,0,46,107,1,35,10,7,2.07,0.59,2,0,3,67,20,8,0,2,263,7,18,31
Édgar Méndez,0.10,0.00,0.10,0.10,1,0.94,0.42,0,0,58,101,0,47,11,2,0.42,0.21,10,8,9,78,20,6,1,4,618,22,13,27
Joselu,0.36,0.06,0.39,0.32,11,2.62,0.91,1,1,541,995,24,424,93,58,1.88,0.42,25,16,31,543,143,39,6,12,2232,51,266,177
Oriol Rey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Víctor Laguardia,0.03,0.07,0.10,0.03,1,0.27,0.03,0,0,774,1026,9,403,362,15,0.51,0.10,25,17,33,214,55,45,16,3,3139,36,60,298
Rodrigo Battaglia,0.00,0.00,0.00,0.00,0,1.17,0.21,,0,,,,,,,,,,9,,,,,,,,21,,
Rubén Duarte,0.00,0.03,0.03,0.00,0,0.68,0.27,0,0,933,1310,14,745,174,36,1.22,0.20,69,38,55,348,104,62,9,4,3688,45,58,289
Sergio López Galache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luismi,0.00,0.00,0.00,0.00,1,0.88,0.27,,0,,,,,,,,,,17,,,,,,,,29,,
Pere Pons,0.08,0.08,0.17,0.08,1,0.33,0.08,0,0,280,378,7,228,45,10,0.83,0.17,25,20,15,248,65,18,3,4,1770,24,18,110
Miguel Ángel Rubio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaizka Campos Bahillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fran Delgado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dani Rebollo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Marín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordi Masip,0.00,0.00,0.00,0.00,,,,,,540,1054,1,174,365,7,0.20,0.00,0,0,2,4,0,0,0,0,2795,0,0,169
Víctor Ruiz,0.00,0.04,0.04,0.00,0,0.32,0.05,0,0,1038,1211,6,765,267,18,0.82,0.14,35,20,23,182,50,43,19,14,5679,29,35,234
Geovanni Barba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Lainez,0.00,0.00,0.00,0.00,0,1.55,0.52,0,0,89,119,4,77,8,4,1.03,0.00,7,5,10,66,15,9,0,17,1615,8,3,15
Iñigo Vicente,0.00,0.00,0.00,0.00,0,3.10,0.00,,0,,,,,,,,,,1,,,,,,,,0,,
Asier Villalibre,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,13,22,1,10,2,0,0.00,0.00,0,0,0,7,2,0,0,0,102,2,6,3
Paul Akouokou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrés Guardado,0.00,0.13,0.13,0.00,0,0.53,0.18,0,0,876,1041,13,638,225,55,2.42,0.22,31,18,44,367,86,31,5,18,4780,36,14,204
